roi_set	roi_name	domain	meta_source	term_or_query	map_type	hemisphere	x	y	z	radius_mm	theory_role	source_url	download_date	notes
meta_metaphor	meta_L_IFG	metaphor	Neurosynth	semantic	association_FDR_0.01_peak_sphere	L	-50	28	14	6	semantic_control	https://neurosynth.org/analyses/terms/semantic/	2026-05-03	Neurosynth semantic association peak; current Step5C+edge+word support in L_IFG.
meta_metaphor	meta_R_IFG	metaphor	Neurosynth	language comprehension	association_FDR_0.01_peak_sphere	R	58	28	4	6	semantic_control	https://neurosynth.org/analyses/terms/language%20comprehension/	2026-05-03	Language comprehension association peak; current Step5C+edge support in R_IFG. Keep as bilateral control/selection node.
meta_metaphor	meta_L_temporal_pole	metaphor	Neurosynth	abstract	association_FDR_0.01_peak_sphere	L	-50	10	-32	6	semantic_hub_metaphor_integration	https://neurosynth.org/analyses/terms/abstract/	2026-05-03	Abstract association ATL/temporal-pole peak; current Step5C+edge+relation support in L temporal pole.
meta_metaphor	meta_R_temporal_pole	metaphor	Neurosynth	semantic memory	association_FDR_0.01_peak_sphere	R	36	16	-42	6	semantic_hub_metaphor_integration	https://neurosynth.org/analyses/terms/semantic%20memory/	2026-05-03	Semantic-memory right ATL peak; current Step5C+edge+relation support in R temporal pole.
meta_metaphor	meta_L_AG	metaphor	Neurosynth	semantic memory	association_FDR_0.01_peak_sphere	L	-46	-68	26	6	combinatorial_semantics	https://neurosynth.org/analyses/terms/semantic%20memory/	2026-05-03	Semantic-memory left AG/IPL peak; current Step5C+edge support in L_AG.
meta_metaphor	meta_R_AG	metaphor	Neurosynth	semantic memory	association_FDR_0.01_peak_sphere	R	42	-60	36	6	combinatorial_semantics	https://neurosynth.org/analyses/terms/semantic%20memory/	2026-05-03	Semantic-memory right AG/IPL peak; current Step5C+edge support in R_AG.
meta_metaphor	meta_L_pMTG_pSTS	metaphor	Neurosynth	semantic	association_FDR_0.01_peak_sphere	L	-54	-40	2	6	lexical_semantic_discourse_interface	https://neurosynth.org/analyses/terms/semantic/	2026-05-03	Semantic posterior temporal peak; current Step5C+edge+relation support in L pMTG/pSTS.
meta_metaphor	meta_R_pMTG_pSTS	metaphor	Neurosynth	language comprehension	association_FDR_0.01_peak_sphere	R	62	-20	-2	6	lexical_semantic_discourse_interface	https://neurosynth.org/analyses/terms/language%20comprehension/	2026-05-03	Language comprehension right temporal peak; current Step5C+edge+relation support in R pMTG/pSTS.
meta_spatial	meta_L_hippocampus	spatial	Neurosynth	hippocampus	association_FDR_0.01_peak_sphere	L	-28	-18	-16	6	hippocampal_binding	https://neurosynth.org/analyses/terms/hippocampus/	2026-05-03	Hippocampus association peak; current Step5C+edge+word support in L hippocampus; high-priority subfamily.
meta_spatial	meta_R_hippocampus	spatial	Neurosynth	hippocampus	association_FDR_0.01_peak_sphere	R	32	-22	-12	6	hippocampal_binding	https://neurosynth.org/analyses/terms/hippocampus/	2026-05-03	Hippocampus association peak; current Step5C+edge+word support in R hippocampus; high-priority subfamily.
meta_spatial	meta_L_PPA_PHG	spatial	Neurosynth	parahippocampal	association_FDR_0.01_peak_sphere	L	-26	-40	-12	6	scene_context_binding	https://neurosynth.org/analyses/terms/parahippocampal/	2026-05-03	Parahippocampal/PPA association peak; current Step5C+edge support in L PPA/PHG.
meta_spatial	meta_R_PPA_PHG	spatial	Neurosynth	parahippocampal	association_FDR_0.01_peak_sphere	R	30	-38	-16	6	scene_context_binding	https://neurosynth.org/analyses/terms/parahippocampal/	2026-05-03	Parahippocampal/PPA association peak; current Step5C+edge support in R PPA/PHG.
meta_spatial	meta_L_RSC_PCC	spatial	Neurosynth	navigation	association_FDR_0.01_peak_sphere	L	-18	-60	8	6	retrosplenial_context_reference_frame	https://neurosynth.org/analyses/terms/navigation/	2026-05-03	Navigation RSC/PCC peak; current Step5C+edge/word support in L RSC/PCC.
meta_spatial	meta_R_RSC_PCC	spatial	Neurosynth	navigation	association_FDR_0.01_peak_sphere	R	16	-54	12	6	retrosplenial_context_reference_frame	https://neurosynth.org/analyses/terms/navigation/	2026-05-03	Navigation RSC/PCC peak; current Step5C+edge/word support in R RSC/PCC.
meta_spatial	meta_L_PPC_SPL	spatial	Neurosynth	spatial attention	association_FDR_0.01_peak_sphere	L	-32	-50	54	6	spatial_attention_relation_layout	https://neurosynth.org/analyses/terms/spatial%20attention/	2026-05-03	Spatial-attention left PPC/SPL peak; current Step5C+edge+word support in L PPC.
meta_spatial	meta_R_PPC_SPL	spatial	Neurosynth	spatial	association_FDR_0.01_peak_sphere	R	42	-40	46	6	spatial_attention_relation_layout	https://neurosynth.org/analyses/terms/spatial/	2026-05-03	Spatial association right PPC/SPL peak; current Step5C+edge+word support in R PPC.
meta_spatial	meta_L_precuneus	spatial	Neurosynth	spatial	association_FDR_0.01_peak_sphere	L	-14	-66	60	6	spatial_context_precuneus	https://neurosynth.org/analyses/terms/spatial/	2026-05-03	Spatial association precuneus peak; current Step5C+edge+word support in L precuneus.
meta_spatial	meta_R_precuneus	spatial	Neurosynth	spatial	association_FDR_0.01_peak_sphere	R	18	-62	56	6	spatial_context_precuneus	https://neurosynth.org/analyses/terms/spatial/	2026-05-03	Spatial association precuneus peak; current Step5C+edge+word support in R precuneus.
